建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,ＪＲ京浜東北線 大宮駅 6階建 築9年,ＪＲ京浜東北線/大宮駅 歩3分,大宮,15.0,0.85,15.85
賃貸マンション,ＪＲ京浜東北線 大宮駅 6階建 築9年,ＪＲ京浜東北線/大宮駅 歩3分,大宮,16.0,0.85,16.85
賃貸マンション,エルフローレ,ＪＲ京浜東北線/大宮駅 歩3分,大宮,15.0,0.85,15.85
賃貸マンション,エルフローレ,ＪＲ京浜東北線/大宮駅 歩3分,大宮,16.0,0.8,16.8
賃貸マンション,エルフローレ,ＪＲ京浜東北線/大宮駅 歩3分,大宮,16.0,0.85,16.85
賃貸アパート,トリシア・コトブキ,東武伊勢崎線/蒲生駅 歩4分,蒲生,11.2,0.55,11.75
賃貸アパート,トリシア・コトブキ,東武伊勢崎線/蒲生駅 歩4分,蒲生,11.5,0.55,12.05
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.6,0.5,11.1
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.6,0.5,11.1
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.8,0.5,11.3
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩5分,新越谷,11.5,0.5,12.0
賃貸アパート,LUXUS,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.6,0.5,11.1
賃貸アパート,LUXUS,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.6,0.5,11.1
賃貸アパート,LUXUS,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.8,0.5,11.3
賃貸アパート,LUXUS,東武伊勢崎線/新越谷駅 歩5分,新越谷,11.5,0.5,12.0
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築2年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.6,1.0,14.6
賃貸アパート,サンアリッサ東川口,ＪＲ武蔵野線/東川口駅 歩4分,東川口,7.8,0.3,8.1
賃貸マンション,TSレジデンス東川口,ＪＲ武蔵野線/東川口駅 歩3分,東川口,9.8,0.6,10.4
賃貸マンション,ＪＲ武蔵野線 東川口駅 7階建 築7年,ＪＲ武蔵野線/東川口駅 歩3分,東川口,9.8,0.6,10.4
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,14.98,2.0,16.98
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,16.5,1.5,18.0
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,17.0,1.5,18.5
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,17.6,1.0,18.6
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,17.3,1.5,18.8
賃貸マンション,大宮スカイ＆スクエア　ザ　レジデンス,ＪＲ京浜東北線/大宮駅 歩5分,大宮,17.4,1.5,18.9
賃貸アパート,ＪＲ宇都宮線 東大宮駅 3階建 築6年,ＪＲ宇都宮線/東大宮駅 歩4分,東大宮,6.9,0.5,7.4
賃貸マンション,ソライエアイル越谷蒲生,東武伊勢崎線/蒲生駅 歩1分,蒲生,10.9,1.0,11.9
賃貸アパート,（仮称）東大宮AP,ＪＲ宇都宮線/東大宮駅 歩6分,東大宮,8.6,0.3,8.9
賃貸アパート,（仮称）東大宮AP,ＪＲ宇都宮線/東大宮駅 歩6分,東大宮,8.7,0.3,9.0
賃貸アパート,つくばエクスプレス 八潮駅 3階建 築7年,つくばエクスプレス/八潮駅 歩7分,八潮,10.5,0.5,11.0
賃貸アパート,プルメリア,つくばエクスプレス/八潮駅 歩7分,八潮,10.5,0.5,11.0
賃貸マンション,グランレーヴ新都心,ＪＲ京浜東北線/与野駅 歩7分,与野,14.1,0.7,14.799999999999999
賃貸アパート,ｆｏｒｔｕｎａ　ｕｎｕｓ,東武伊勢崎線/新田駅 歩3分,新田,9.9,0.5,10.4
賃貸アパート,ｆｏｒｔｕｎａ　ｕｎｕｓ,東武伊勢崎線/新田駅 歩3分,新田,10.1,0.5,10.6
賃貸アパート,ｆｏｒｔｕｎａ　ｕｎｕｓ,東武伊勢崎線/新田駅 歩3分,新田,10.1,0.5,10.6
賃貸アパート,ｆｏｒｔｕｎａ　ｕｎｕｓ,東武伊勢崎線/新田駅 歩3分,新田,10.3,0.5,10.8
賃貸マンション,ＧＬＡＮＺＥＮＤ（グレンツェント）,ＪＲ埼京線/南与野駅 歩7分,南与野,10.7,0.8,11.5
賃貸マンション,ＧＬＡＮＺＥＮＤ（グレンツェント）,ＪＲ埼京線/南与野駅 歩7分,南与野,11.0,0.8,11.8
賃貸マンション,ＧＬＡＮＺＥＮＤ（グレンツェント）,ＪＲ埼京線/南与野駅 歩7分,南与野,11.4,0.8,12.200000000000001
賃貸マンション,アグレイブ,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,11.6,0.8,12.4
賃貸マンション,アグレイブ,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,11.9,0.9,12.8
賃貸マンション,埼玉高速鉄道 鳩ヶ谷駅 3階建 新築,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,11.6,0.8,12.4
賃貸マンション,埼玉高速鉄道 鳩ヶ谷駅 3階建 新築,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,11.9,0.9,12.8
賃貸アパート,ライムストーンスクエア,ＪＲ京浜東北線/蕨駅 歩7分,蕨,10.4,0.45,10.85
賃貸アパート,Casa Comfort B,ＪＲ宇都宮線/土呂駅 歩4分,土呂,10.5,0.5,11.0
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,16.0,1.5,17.5
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,16.9,0.9,17.799999999999997
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,19.1,1.0,20.1
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,19.2,1.0,20.2
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,24.8,1.0,25.8
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,24.9,1.0,25.9
賃貸マンション,大宮スカイ＆スクエアザ・タワー,ＪＲ京浜東北線/大宮駅 歩5分,大宮,25.1,1.0,26.1
賃貸マンション,サンビュール戸田公園,ＪＲ埼京線/戸田公園駅 歩4分,戸田公園,13.4,0.8,14.200000000000001
賃貸マンション,パークアレー浦和,ＪＲ京浜東北線/浦和駅 歩6分,浦和,11.1,0.6,11.7
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,13.8,0.8,14.600000000000001
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,13.8,0.8,14.600000000000001
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.2,0.7,14.899999999999999
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.2,0.8,15.0
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.3,0.9,15.200000000000001
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.3,0.9,15.200000000000001
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.7,0.7,15.399999999999999
賃貸アパート,リラフォート,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.7,0.9,15.6
賃貸マンション,ＪＲ埼京線 与野本町駅 3階建 新築,ＪＲ埼京線/与野本町駅 歩7分,与野本町,13.8,0.8,14.600000000000001
賃貸マンション,ＪＲ埼京線 与野本町駅 3階建 新築,ＪＲ埼京線/与野本町駅 歩7分,与野本町,13.8,0.8,14.600000000000001
賃貸マンション,ＪＲ埼京線 与野本町駅 3階建 新築,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.2,0.8,15.0
賃貸マンション,ＪＲ埼京線 与野本町駅 3階建 新築,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.3,0.9,15.200000000000001
賃貸マンション,ＪＲ埼京線 与野本町駅 3階建 新築,ＪＲ埼京線/与野本町駅 歩7分,与野本町,14.7,0.9,15.6
賃貸アパート,アトラスカーロ文蔵,ＪＲ京浜東北線/南浦和駅 歩6分,南浦和,11.9,0.8,12.700000000000001
賃貸アパート,アトラスカーロ文蔵,ＪＲ京浜東北線/南浦和駅 歩6分,南浦和,12.3,0.8,13.100000000000001
賃貸アパート,ＪＲ京浜東北線 南浦和駅 2階建 新築,ＪＲ京浜東北線/南浦和駅 歩6分,南浦和,11.9,0.8,12.700000000000001
賃貸アパート,ａｎｇｅｌｏ,つくばエクスプレス/八潮駅 歩6分,八潮,10.0,0.7,10.7
賃貸アパート,つくばエクスプレス 八潮駅 3階建 築2年,つくばエクスプレス/八潮駅 歩6分,八潮,10.0,0.7,10.7
賃貸アパート,ange,つくばエクスプレス/八潮駅 歩6分,八潮,10.3,0.65,10.950000000000001
賃貸マンション,ヒルズイースト高砂,ＪＲ京浜東北線/浦和駅 歩7分,浦和,13.45,1.0,14.45
賃貸マンション,シャーメゾン北上尾,ＪＲ高崎線/北上尾駅 歩6分,北上尾,11.0,0.7,11.7
