建物種別,駅名,月額
賃貸アパート,東松原,15.3
賃貸アパート,東武練馬,12.13
賃貸アパート,東神奈川,14.0
賃貸アパート,東船橋,10.61
賃貸アパート,東長崎,16.65
賃貸アパート,東高円寺,12.9
賃貸アパート,松原,14.03
賃貸アパート,松戸,13.33
賃貸アパート,松戸新田,9.55
賃貸アパート,板橋区役所前,12.4
賃貸アパート,板橋本町,14.83
賃貸アパート,柏,11.6
賃貸アパート,柴崎,12.74
賃貸アパート,桜上水,13.8
賃貸アパート,桜新町,16.5
賃貸アパート,梅屋敷,13.65
賃貸アパート,梶が谷,17.84
賃貸アパート,椎名町,13.5
賃貸アパート,検見川,7.5
賃貸アパート,武蔵中原,12.3
賃貸アパート,武蔵境,17.9
賃貸アパート,武蔵小山,17.23
賃貸アパート,武蔵小杉,14.72
賃貸アパート,武蔵新城,12.3
賃貸アパート,武蔵溝ノ口,13.1
賃貸アパート,武蔵野台,9.7
賃貸アパート,武蔵関,13.64
賃貸アパート,氷川台,11.7
賃貸アパート,江北,11.9
賃貸アパート,池ノ上,18.5
賃貸アパート,池上,14.78
賃貸アパート,洗足,15.57
賃貸アパート,流山セントラルパーク,10.4
賃貸アパート,浜田山,16.0
賃貸アパート,港南中央,9.65
賃貸アパート,港南台,10.2
賃貸アパート,湘南台,11.11
賃貸アパート,滝野川一丁目,13.9
賃貸アパート,熊野前,12.72
賃貸アパート,片倉町,10.9
賃貸アパート,牛田,12.8
賃貸アパート,獨協大学前,9.9
賃貸アパート,王子神谷,10.9
賃貸アパート,生田,12.44
賃貸アパート,生麦,9.88
賃貸アパート,田原町,14.6
賃貸アパート,田無,10.0
賃貸アパート,田端,12.88
賃貸アパート,町屋,11.58
賃貸アパート,白楽,13.3
賃貸アパート,白金台,19.9
賃貸アパート,白金高輪,19.24
賃貸アパート,目白,15.5
賃貸アパート,目黒,17.5
賃貸アパート,矢口渡,12.2
賃貸アパート,石川台,12.2
賃貸アパート,石神井公園,15.5
賃貸アパート,祖師ヶ谷大蔵,11.78
賃貸アパート,稲毛,8.7
賃貸アパート,穴守稲荷,13.8
賃貸アパート,立川,13.5
賃貸アパート,等々力,11.3
賃貸アパート,篠崎,14.54
賃貸アパート,経堂,19.3
賃貸アパート,緑が丘,14.43
賃貸アパート,練馬,13.43
賃貸アパート,練馬春日町,12.0
賃貸アパート,羽沢横浜国大,11.6
賃貸アパート,自由が丘,15.37
賃貸アパート,船堀,11.5
賃貸アパート,船橋,14.0
賃貸アパート,茅ケ崎,9.8
賃貸アパート,荒川二丁目,12.25
賃貸アパート,荻窪,15.7
賃貸アパート,菅野,10.25
賃貸アパート,菊名,14.0
賃貸アパート,落合,13.9
賃貸アパート,落合南長崎,13.2
賃貸アパート,葛西,17.5
賃貸アパート,蒔田,10.7
賃貸アパート,蒲生,10.77
賃貸アパート,蒲田,12.4
賃貸アパート,蓮根,13.7
賃貸アパート,蕨,9.06
賃貸アパート,藤が丘,11.75
賃貸アパート,藤沢,9.2
賃貸アパート,行徳,11.5
賃貸アパート,西台,12.85
賃貸アパート,西大井,12.6
賃貸アパート,西小山,17.7
賃貸アパート,西川口,10.6
賃貸アパート,西新宿,14.0
賃貸アパート,西武柳沢,9.0
賃貸アパート,西永福,12.4
賃貸アパート,西船橋,10.14
賃貸アパート,西荻窪,15.5
賃貸アパート,西調布,12.8
賃貸アパート,西谷,13.0
賃貸アパート,西高島平,12.35
賃貸アパート,要町,13.9
賃貸アパート,調布,12.35
賃貸アパート,谷在家,10.9
賃貸アパート,谷塚,7.75
賃貸アパート,豊四季,7.73
賃貸アパート,豊島園,11.58
賃貸アパート,赤坂,25.6
賃貸アパート,辻堂,11.86
賃貸アパート,追浜,10.7
賃貸アパート,都立大学,16.5
賃貸アパート,都立家政,14.6
賃貸アパート,野方,15.8
賃貸アパート,錦糸町,19.4
賃貸アパート,鎌倉,15.9
賃貸アパート,長原,17.7
賃貸アパート,阿佐ケ谷,15.0
賃貸アパート,雑色,12.95
賃貸アパート,青物横丁,14.37
賃貸アパート,青砥,11.02
賃貸アパート,飛田給,9.0
賃貸アパート,飯山満,9.0
賃貸アパート,馬橋,8.04
賃貸アパート,馬込,12.44
賃貸アパート,駒込,13.8
賃貸アパート,高円寺,17.35
賃貸アパート,高田馬場,17.5
賃貸アパート,高野,11.6
賃貸アパート,鴨居,13.5
賃貸アパート,鵜の木,14.6
賃貸アパート,鶯谷,13.85
賃貸アパート,鶴ケ峰,8.4
賃貸マンション,お花茶屋,13.37
賃貸マンション,さいたま新都心,14.95
賃貸マンション,たまプラーザ,13.82
賃貸マンション,つつじヶ丘,13.4
賃貸マンション,とうきょうスカイツリー,13.8
賃貸マンション,ときわ台,14.26
賃貸マンション,ひばりヶ丘,20.97
賃貸マンション,みのり台,10.25
賃貸マンション,ゆめが丘,11.52
賃貸マンション,一之江,19.27
賃貸マンション,三ツ沢上町,10.0
賃貸マンション,三ツ沢下町,11.14
賃貸マンション,三ノ輪,16.68
賃貸マンション,三河島,14.58
賃貸マンション,三田,25.39
賃貸マンション,三越前,19.8
賃貸マンション,三軒茶屋,21.47
賃貸マンション,三鷹,20.33
賃貸マンション,三鷹台,12.2
賃貸マンション,上北沢,17.59
賃貸マンション,上大岡,14.4
賃貸マンション,上尾,20.0
賃貸マンション,上板橋,13.04
賃貸マンション,上永谷,12.5
賃貸マンション,上町,12.0
賃貸マンション,上石神井,13.89
賃貸マンション,上野,19.59
賃貸マンション,上野毛,17.0
賃貸マンション,下丸子,14.1
賃貸マンション,下井草,14.39
賃貸マンション,下北沢,21.76
賃貸マンション,下板橋,15.02
賃貸マンション,下神明,17.3
賃貸マンション,下総中山,12.22
賃貸マンション,下落合,15.47
賃貸マンション,下赤塚,17.16
賃貸マンション,下高井戸,16.86
賃貸マンション,不動前,22.87
賃貸マンション,与野,13.98
賃貸マンション,与野本町,15.48
賃貸マンション,世田谷,15.64
賃貸マンション,両国,19.19
賃貸マンション,中井,17.12
賃貸マンション,中延,24.0
賃貸マンション,中村橋,13.9
賃貸マンション,中板橋,15.74
賃貸マンション,中浦和,15.9
賃貸マンション,中田,15.2
賃貸マンション,中目黒,26.54
賃貸マンション,中野,25.58
賃貸マンション,中野坂上,18.8
賃貸マンション,中野富士見町,19.72
賃貸マンション,中野新橋,19.99
賃貸マンション,乃木坂,28.35
賃貸マンション,久が原,16.75
賃貸マンション,久地,11.88
賃貸マンション,九品仏,15.35
賃貸マンション,九段下,26.38
賃貸マンション,亀戸,17.53
賃貸マンション,亀戸水神,16.88
賃貸マンション,亀有,12.28
賃貸マンション,二俣川,14.4
賃貸マンション,二子新地,13.87
賃貸マンション,二子玉川,17.68
賃貸マンション,五反田,24.34
賃貸マンション,五香,10.35
賃貸マンション,井荻,17.02
賃貸マンション,京急川崎,13.61
賃貸マンション,京急東神奈川,16.3
賃貸マンション,京急蒲田,18.86
賃貸マンション,京急鶴見,13.81
賃貸マンション,京成千葉,12.7
賃貸マンション,京成小岩,13.2
賃貸マンション,京成幕張本郷,8.92
賃貸マンション,京成曳舟,15.33
賃貸マンション,京成船橋,13.97
賃貸マンション,京橋,19.9
賃貸マンション,人形町,23.7
賃貸マンション,仙川,12.46
賃貸マンション,代々木,21.01
賃貸マンション,代々木上原,26.36
賃貸マンション,代々木八幡,21.94
賃貸マンション,代々木公園,37.39
賃貸マンション,代官山,25.31
賃貸マンション,代田橋,15.36
賃貸マンション,仲御徒町,19.52
賃貸マンション,仲町台,13.28
賃貸マンション,伊勢佐木長者町,16.23
賃貸マンション,住吉,18.24
賃貸マンション,保土ケ谷,15.2
賃貸マンション,信濃町,22.8
賃貸マンション,元住吉,14.58
賃貸マンション,元町・中華街,16.57
賃貸マンション,入谷,17.58
賃貸マンション,八丁堀,26.69
賃貸マンション,八丁畷,12.88
賃貸マンション,八幡山,15.54
賃貸マンション,八広,14.07
賃貸マンション,八潮,10.92
賃貸マンション,六本木,35.9
賃貸マンション,六本木一丁目,34.62
賃貸マンション,六浦,11.3
賃貸マンション,六町,12.68
賃貸マンション,六郷土手,10.92
賃貸マンション,分倍河原,12.0
賃貸マンション,初台,25.56
賃貸マンション,勝どき,25.75
賃貸マンション,北上尾,12.5
賃貸マンション,北与野,15.08
賃貸マンション,北千住,15.71
賃貸マンション,北参道,25.02
賃貸マンション,北品川,19.21
賃貸マンション,北大宮,15.3
賃貸マンション,北戸田,13.25
賃貸マンション,北松戸,7.85
賃貸マンション,北柏,9.6
賃貸マンション,北池袋,13.63
賃貸マンション,北浦和,15.25
賃貸マンション,北綾瀬,13.43
賃貸マンション,北習志野,9.38
賃貸マンション,北赤羽,14.32
賃貸マンション,十条,14.89
賃貸マンション,千住大橋,16.79
賃貸マンション,千川,14.14
賃貸マンション,千歳烏山,14.5
賃貸マンション,千歳船橋,16.0
賃貸マンション,千石,18.82
賃貸マンション,千葉,13.57
賃貸マンション,千駄ケ谷,22.35
賃貸マンション,千駄木,21.26
賃貸マンション,千鳥町,14.4
賃貸マンション,半蔵門,30.02
賃貸マンション,南万騎が原,10.2
賃貸マンション,南与野,11.83
賃貸マンション,南千住,16.16
賃貸マンション,南太田,14.42
賃貸マンション,南新宿,20.53
賃貸マンション,南柏,12.8
賃貸マンション,南流山,11.06
賃貸マンション,南浦和,14.25
賃貸マンション,南砂町,14.59
賃貸マンション,南船橋,15.33
賃貸マンション,南行徳,13.22
賃貸マンション,南越谷,9.6
賃貸マンション,南部市場,11.8
賃貸マンション,南阿佐ケ谷,19.72
賃貸マンション,原宿,51.92
賃貸マンション,原木中山,10.5
賃貸マンション,参宮橋,23.33
賃貸マンション,反町,19.69
賃貸マンション,吉祥寺,14.4
賃貸マンション,吉野町,12.9
賃貸マンション,向ヶ丘遊園,17.58
賃貸マンション,向原,18.44
賃貸マンション,向河原,15.28
賃貸マンション,和光市,14.45
賃貸マンション,和田町,16.4
賃貸マンション,品川,33.37
賃貸マンション,品川シーサイド,24.5
賃貸マンション,四ツ谷,23.49
賃貸マンション,四谷三丁目,20.94
賃貸マンション,国分寺,15.71
賃貸マンション,国立,15.55
賃貸マンション,国立競技場,25.71
賃貸マンション,国道,14.5
賃貸マンション,地下鉄成増,16.79
賃貸マンション,地下鉄赤塚,13.36
賃貸マンション,堀切菖蒲園,12.17
賃貸マンション,外苑前,31.8
賃貸マンション,大久保,22.61
賃貸マンション,大井町,19.28
賃貸マンション,大口,14.04
賃貸マンション,大塚,17.76
賃貸マンション,大宮,17.98
賃貸マンション,大山,18.25
賃貸マンション,大岡山,18.29
賃貸マンション,大島,16.2
賃貸マンション,大崎,21.19
賃貸マンション,大師前,12.75
賃貸マンション,大手町,26.92
賃貸マンション,大森,18.51
賃貸マンション,大森海岸,18.56
賃貸マンション,大森町,11.97
賃貸マンション,大泉学園,14.27
賃貸マンション,大神宮下,10.0
賃貸マンション,大門,20.57
賃貸マンション,大鳥居,16.3
賃貸マンション,天王洲アイル,20.9
賃貸マンション,天王町,14.85
賃貸マンション,天空橋,15.42
賃貸マンション,奥沢,16.59
賃貸マンション,妙典,12.5
賃貸マンション,妙蓮寺,13.34
賃貸マンション,子安,12.52
賃貸マンション,学芸大学,20.17
賃貸マンション,宝町,25.05
賃貸マンション,宮前平,12.7
賃貸マンション,宮原,10.6
賃貸マンション,宮崎台,15.61
賃貸マンション,宿河原,16.21
賃貸マンション,富士見台,14.69
賃貸マンション,小伝馬町,21.67
賃貸マンション,小台,12.75
賃貸マンション,小岩,13.42
賃貸マンション,小川町,32.39
賃貸マンション,小村井,14.81
賃貸マンション,小田栄,12.0
賃貸マンション,小竹向原,16.03
賃貸マンション,尻手,12.0
賃貸マンション,尾久,16.11
賃貸マンション,尾山台,18.0
賃貸マンション,山手,12.8
賃貸マンション,岩本町,21.3
賃貸マンション,岸根公園,12.04
賃貸マンション,川口,14.15
賃貸マンション,川口元郷,14.4
賃貸マンション,川崎,13.18
賃貸マンション,川崎大師,14.32
賃貸マンション,巣鴨,16.19
賃貸マンション,市ケ谷,28.47
賃貸マンション,市川,14.85
賃貸マンション,市川真間,13.3
賃貸マンション,布田,18.8
賃貸マンション,幕張,9.48
賃貸マンション,幕張本郷,11.6
賃貸マンション,幡ヶ谷,20.05
賃貸マンション,平井,15.24
賃貸マンション,平和台,13.5
賃貸マンション,平和島,16.73
賃貸マンション,平塚,11.88
賃貸マンション,平沼橋,16.4
賃貸マンション,平間,12.56
賃貸マンション,広尾,32.17
賃貸マンション,府中,14.71
賃貸マンション,府中本町,13.33
賃貸マンション,弘明寺,11.0
賃貸マンション,後楽園,16.58
賃貸マンション,御嶽山,14.3
賃貸マンション,御徒町,20.8
賃貸マンション,御成門,21.56
賃貸マンション,御茶ノ水,18.09
賃貸マンション,志村三丁目,16.49
賃貸マンション,志村坂上,16.13
賃貸マンション,志茂,13.1
賃貸マンション,恵比寿,26.31
賃貸マンション,成城学園前,18.3
賃貸マンション,成瀬,10.8
賃貸マンション,我孫子,12.97
賃貸マンション,戸塚,16.7
賃貸マンション,戸田,8.65
賃貸マンション,戸田公園,12.94
賃貸マンション,戸越,17.91
賃貸マンション,戸越公園,22.33
賃貸マンション,戸越銀座,19.43
賃貸マンション,戸部,14.8
賃貸マンション,扇大橋,12.57
賃貸マンション,押上,19.61
賃貸マンション,新三河島,14.71
賃貸マンション,新中野,18.51
賃貸マンション,新丸子,15.8
賃貸マンション,新井薬師前,17.03
賃貸マンション,新代田,23.83
賃貸マンション,新千葉,12.22
賃貸マンション,新大久保,19.86
賃貸マンション,新大塚,17.11
賃貸マンション,新子安,14.4
賃貸マンション,新宿,29.74
賃貸マンション,新宿三丁目,21.59
賃貸マンション,新宿御苑前,20.05
賃貸マンション,新富町,20.74
賃貸マンション,新小岩,14.74
賃貸マンション,新川崎,20.5
賃貸マンション,新御徒町,19.29
賃貸マンション,新御茶ノ水,17.0
賃貸マンション,新日本橋,22.25
賃貸マンション,新松戸,11.1
賃貸マンション,新板橋,13.97
賃貸マンション,新検見川,9.75
賃貸マンション,新横浜,15.42
賃貸マンション,新橋,24.42
賃貸マンション,新江古田,15.0
賃貸マンション,新綱島,18.93
賃貸マンション,新羽,11.01
賃貸マンション,新豊洲,22.63
賃貸マンション,新越谷,11.7
賃貸マンション,新馬場,19.11
賃貸マンション,新高円寺,19.0
賃貸マンション,新高島平,15.37
賃貸マンション,方南町,19.59
賃貸マンション,旗の台,18.55
賃貸マンション,日の出,29.65
賃貸マンション,日ノ出町,13.69
賃貸マンション,日暮里,16.7
賃貸マンション,日本大通り,12.31
賃貸マンション,日本橋,25.9
賃貸マンション,日野,13.37
賃貸マンション,早稲田,21.72
賃貸マンション,明大前,20.53
賃貸マンション,明治神宮前,16.7
賃貸マンション,星川,11.0
賃貸マンション,春日,22.29
賃貸マンション,曙橋,20.04
賃貸マンション,曳舟,17.48
賃貸マンション,月島,20.48
賃貸マンション,有明,22.46
賃貸マンション,朝霞,13.78
賃貸マンション,木場,16.85
賃貸マンション,末広町,20.5
賃貸マンション,本八幡,12.76
賃貸マンション,本所吾妻橋,19.99
賃貸マンション,本蓮沼,16.08
賃貸マンション,本郷三丁目,20.12
賃貸マンション,本駒込,19.83
賃貸マンション,杉田,10.19
賃貸マンション,東あずま,15.9
賃貸マンション,東中野,19.03
賃貸マンション,東京,20.15
賃貸マンション,東伏見,10.77
賃貸マンション,東北沢,20.8
賃貸マンション,東十条,16.76
賃貸マンション,東向島,14.77
賃貸マンション,東大前,19.65
賃貸マンション,東大島,18.54
賃貸マンション,東小金井,13.7
賃貸マンション,東山田,11.0
賃貸マンション,東川口,14.07
賃貸マンション,東新宿,17.96
賃貸マンション,東日本橋,21.96
賃貸マンション,東松原,18.51
賃貸マンション,東武練馬,11.9
賃貸マンション,東池袋,18.44
賃貸マンション,東浦和,14.02
賃貸マンション,東海神,12.95
賃貸マンション,東神奈川,16.04
賃貸マンション,東船橋,12.92
賃貸マンション,東銀座,24.8
賃貸マンション,東長崎,16.12
賃貸マンション,東門前,10.42
賃貸マンション,東陽町,16.89
賃貸マンション,東高円寺,16.95
賃貸マンション,松原,18.05
賃貸マンション,松戸,13.64
賃貸マンション,松陰神社前,19.2
賃貸マンション,板橋,16.25
賃貸マンション,板橋区役所前,16.33
賃貸マンション,板橋本町,15.92
賃貸マンション,柏,13.53
賃貸マンション,栄町,10.18
賃貸マンション,栗平,10.5
賃貸マンション,根津,18.39
賃貸マンション,桜上水,17.93
賃貸マンション,桜台,16.3
賃貸マンション,桜新町,18.85
賃貸マンション,桜木町,20.61
賃貸マンション,梅ヶ丘,18.18
賃貸マンション,梅屋敷,15.28
賃貸マンション,梅島,14.85
賃貸マンション,梶が谷,15.18
賃貸マンション,森下,18.78
賃貸マンション,椎名町,16.51
賃貸マンション,横浜,19.04
賃貸マンション,武蔵中原,14.35
賃貸マンション,武蔵境,16.35
賃貸マンション,武蔵小山,19.89
賃貸マンション,武蔵小杉,16.57
賃貸マンション,武蔵小金井,15.0
賃貸マンション,武蔵新城,13.84
賃貸マンション,武蔵新田,13.02
賃貸マンション,武蔵浦和,16.42
賃貸マンション,武蔵溝ノ口,13.85
賃貸マンション,武蔵関,11.32
賃貸マンション,水天宮前,23.94
賃貸マンション,水道橋,22.12
賃貸マンション,氷川台,15.39
賃貸マンション,永田町,21.3
賃貸マンション,永福町,11.0
賃貸マンション,汐留,29.0
賃貸マンション,江北,14.5
賃貸マンション,江古田,19.52
賃貸マンション,江戸川,10.4
賃貸マンション,江戸川橋,20.79
賃貸マンション,池ノ上,19.55
賃貸マンション,池上,17.7
賃貸マンション,池尻大橋,26.69
賃貸マンション,池袋,17.87
賃貸マンション,沼袋,17.35
賃貸マンション,沼部,17.67
賃貸マンション,泉岳寺,24.18
賃貸マンション,洗足池,13.15
賃貸マンション,津田沼,11.3
賃貸マンション,流山おおたかの森,13.95
賃貸マンション,流山セントラルパーク,11.7
賃貸マンション,浅草,19.5
賃貸マンション,浅草橋,20.58
賃貸マンション,浜川崎,9.9
賃貸マンション,浜松町,38.03
賃貸マンション,浜町,22.95
賃貸マンション,浦和,14.06
賃貸マンション,浦安,15.4
賃貸マンション,浮間舟渡,13.17
賃貸マンション,海神,12.0
賃貸マンション,淡路町,26.0
賃貸マンション,清澄白河,18.39
賃貸マンション,渋谷,30.68
賃貸マンション,湘南台,11.6
賃貸マンション,湘南深沢,9.65
賃貸マンション,湯島,17.67
賃貸マンション,溝の口,12.4
賃貸マンション,熊野前,15.8
賃貸マンション,牛込柳町,21.01
賃貸マンション,牛込神楽坂,21.13
賃貸マンション,王子,15.55
賃貸マンション,王子神谷,17.54
賃貸マンション,瑞江,13.33
賃貸マンション,用賀,18.88
賃貸マンション,田原町,18.44
賃貸マンション,田園調布,20.07
賃貸マンション,田無,9.5
賃貸マンション,田町,24.95
賃貸マンション,田端,13.23
賃貸マンション,町屋,14.48
賃貸マンション,町屋二丁目,14.83
賃貸マンション,登戸,12.5
賃貸マンション,白山,19.11
賃貸マンション,白楽,15.26
賃貸マンション,白金台,25.46
賃貸マンション,白金高輪,23.76
賃貸マンション,目白,17.3
賃貸マンション,目黒,30.15
賃貸マンション,矢口渡,13.25
賃貸マンション,矢向,13.15
賃貸マンション,石川町,15.02
賃貸マンション,石神井公園,17.53
賃貸マンション,磯子,11.0
賃貸マンション,祐天寺,17.85
賃貸マンション,祖師ヶ谷大蔵,16.2
賃貸マンション,神保町,24.58
賃貸マンション,神奈川,14.5
賃貸マンション,神奈川新町,10.65
賃貸マンション,神楽坂,21.74
賃貸マンション,神泉,21.38
賃貸マンション,神田,20.56
賃貸マンション,神谷町,31.07
賃貸マンション,秋葉原,19.39
賃貸マンション,稲城長沼,14.8
賃貸マンション,稲毛,8.62
賃貸マンション,稲荷町,19.29
賃貸マンション,穴守稲荷,14.27
賃貸マンション,立会川,18.11
賃貸マンション,立場,9.95
賃貸マンション,立川,13.68
賃貸マンション,竹ノ塚,9.2
賃貸マンション,竹橋,20.6
賃貸マンション,笹塚,20.31
賃貸マンション,等々力,19.88
賃貸マンション,築地,23.09
賃貸マンション,築地市場,24.43
賃貸マンション,篠崎,14.46
賃貸マンション,糀谷,15.57
賃貸マンション,経堂,17.3
賃貸マンション,綱島,14.7
賃貸マンション,綾瀬,17.7
賃貸マンション,緑が丘,17.13
賃貸マンション,練馬,15.2
賃貸マンション,練馬春日町,11.93
賃貸マンション,自由が丘,22.17
賃貸マンション,舎人,11.8
賃貸マンション,船堀,12.8
賃貸マンション,船橋,13.81
賃貸マンション,船橋法典,10.21
賃貸マンション,芝公園,25.8
賃貸マンション,芝浦ふ頭,18.62
賃貸マンション,芦花公園,14.37
賃貸マンション,花小金井,12.21
賃貸マンション,花月総持寺,12.2
賃貸マンション,若松河田,21.57
賃貸マンション,若林,15.46
賃貸マンション,茅ケ崎,10.1
賃貸マンション,茅場町,20.59
賃貸マンション,茗荷谷,19.25
賃貸マンション,荏原中延,18.47
賃貸マンション,荏原町,18.84
賃貸マンション,荒川七丁目,11.9
賃貸マンション,荒川二丁目,11.7
賃貸マンション,荒川遊園地前,17.8
賃貸マンション,荻窪,15.54
賃貸マンション,菊川,18.4
賃貸マンション,落合,15.68
賃貸マンション,落合南長崎,16.15
賃貸マンション,葛西,13.02
賃貸マンション,葭川公園,11.0
賃貸マンション,蒔田,11.62
賃貸マンション,蒲生,11.9
賃貸マンション,蒲田,15.98
賃貸マンション,蓮根,15.62
賃貸マンション,蓮沼,16.71
賃貸マンション,蔵前,21.15
賃貸マンション,蕨,12.72
賃貸マンション,藤沢,13.91
賃貸マンション,藤沢本町,12.9
賃貸マンション,虎ノ門ヒルズ,24.94
賃貸マンション,行徳,13.69
賃貸マンション,表参道,34.01
賃貸マンション,西台,12.12
賃貸マンション,西大井,17.22
賃貸マンション,西大島,14.16
賃貸マンション,西太子堂,15.85
賃貸マンション,西小山,17.9
賃貸マンション,西川口,12.82
賃貸マンション,西巣鴨,18.3
賃貸マンション,西新井,13.4
賃貸マンション,西新井大師西,15.57
賃貸マンション,西新宿,27.82
賃貸マンション,西新宿五丁目,23.24
賃貸マンション,西日暮里,17.06
