都道府県,路線名,物件タイプ,部屋種別,駅,家賃
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,池袋,26.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,大塚,25.6万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,巣鴨,25.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,駒込,25.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,田端,19.5万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,西日暮里,21.3万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,日暮里,23.3万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,鶯谷,21.6万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,上野,24.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,御徒町,29.4万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,秋葉原,27.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,神田,33.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,東京,6.1万円
tokyo,ＪＲ山手線,アパート,ワンルーム,有楽町,3.9万円
tokyo,ＪＲ山手線,アパート,ワンルーム,新橋,7.1万円
tokyo,ＪＲ山手線,アパート,ワンルーム,浜松町,8.3万円
tokyo,ＪＲ山手線,アパート,ワンルーム,田町,8.9万円
tokyo,ＪＲ山手線,アパート,ワンルーム,高輪ゲートウェイ,8.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,品川,7.4万円
tokyo,ＪＲ山手線,アパート,ワンルーム,大崎,7.0万円
tokyo,ＪＲ山手線,アパート,ワンルーム,五反田,7.4万円
tokyo,ＪＲ山手線,アパート,ワンルーム,目黒,7.3万円
tokyo,ＪＲ山手線,アパート,ワンルーム,恵比寿,7.8万円
tokyo,ＪＲ山手線,アパート,ワンルーム,渋谷,7.8万円
tokyo,ＪＲ山手線,アパート,ワンルーム,原宿,8.2万円
tokyo,ＪＲ山手線,アパート,ワンルーム,代々木,7.2万円
tokyo,ＪＲ山手線,アパート,ワンルーム,新宿,6.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,新大久保,6.7万円
tokyo,ＪＲ山手線,アパート,ワンルーム,高田馬場,6.4万円
tokyo,ＪＲ山手線,アパート,ワンルーム,目白,6.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,池袋,6.3万円
tokyo,ＪＲ山手線,アパート,ワンルーム,大塚,6.3万円
tokyo,ＪＲ山手線,アパート,ワンルーム,巣鴨,6.2万円
tokyo,ＪＲ山手線,アパート,ワンルーム,駒込,6.1万円
tokyo,ＪＲ山手線,アパート,ワンルーム,田端,6.1万円
tokyo,ＪＲ山手線,アパート,ワンルーム,西日暮里,6.2万円
tokyo,ＪＲ山手線,アパート,ワンルーム,日暮里,6.6万円
tokyo,ＪＲ山手線,アパート,ワンルーム,鶯谷,6.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,上野,6.8万円
tokyo,ＪＲ山手線,アパート,ワンルーム,御徒町,7.1万円
tokyo,ＪＲ山手線,アパート,ワンルーム,秋葉原,6.5万円
tokyo,ＪＲ山手線,アパート,ワンルーム,神田,7.5万円
tokyo,ＪＲ山手線,アパート,1K/1DK,東京,-
tokyo,ＪＲ山手線,アパート,1K/1DK,有楽町,-
tokyo,ＪＲ山手線,アパート,1K/1DK,新橋,11.1万円
tokyo,ＪＲ山手線,アパート,1K/1DK,浜松町,9.9万円
tokyo,ＪＲ山手線,アパート,1K/1DK,田町,10.2万円
tokyo,ＪＲ山手線,アパート,1K/1DK,高輪ゲートウェイ,8.6万円
tokyo,ＪＲ山手線,アパート,1K/1DK,品川,7.5万円
tokyo,ＪＲ山手線,アパート,1K/1DK,大崎,7.7万円
tokyo,ＪＲ山手線,アパート,1K/1DK,五反田,7.9万円
tokyo,ＪＲ山手線,アパート,1K/1DK,目黒,8.0万円
tokyo,ＪＲ山手線,アパート,1K/1DK,恵比寿,8.5万円
tokyo,ＪＲ山手線,アパート,1K/1DK,渋谷,8.0万円
tokyo,ＪＲ山手線,アパート,1K/1DK,原宿,9.7万円
tokyo,ＪＲ山手線,アパート,1K/1DK,代々木,8.6万円
tokyo,ＪＲ山手線,アパート,1K/1DK,新宿,7.2万円
tokyo,ＪＲ山手線,アパート,1K/1DK,新大久保,7.8万円
tokyo,ＪＲ山手線,アパート,1K/1DK,高田馬場,7.3万円
tokyo,ＪＲ山手線,アパート,1K/1DK,目白,7.1万円
tokyo,ＪＲ山手線,アパート,1K/1DK,池袋,6.9万円
tokyo,ＪＲ山手線,アパート,1K/1DK,大塚,7.0万円
tokyo,ＪＲ山手線,アパート,1K/1DK,巣鴨,7.2万円
tokyo,ＪＲ山手線,アパート,1K/1DK,駒込,7.3万円
tokyo,ＪＲ山手線,アパート,1K/1DK,田端,7.2万円
tokyo,ＪＲ山手線,アパート,1K/1DK,西日暮里,7.3万円
tokyo,ＪＲ山手線,アパート,1K/1DK,日暮里,7.4万円
tokyo,ＪＲ山手線,アパート,1K/1DK,鶯谷,7.4万円
tokyo,ＪＲ山手線,アパート,1K/1DK,上野,7.6万円
tokyo,ＪＲ山手線,アパート,1K/1DK,御徒町,8.5万円
tokyo,ＪＲ山手線,アパート,1K/1DK,秋葉原,8.6万円
tokyo,ＪＲ山手線,アパート,1K/1DK,神田,8.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,東京,-
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,有楽町,-
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,新橋,22.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,浜松町,-
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,田町,16.2万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,高輪ゲートウェイ,15.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,品川,14.5万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,大崎,13.3万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,五反田,13.6万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,目黒,13.7万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,恵比寿,14.8万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,渋谷,14.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,原宿,21.5万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,代々木,14.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,新宿,13.3万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,新大久保,12.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,高田馬場,13.0万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,目白,12.3万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,池袋,11.7万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,大塚,11.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,巣鴨,12.2万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,駒込,11.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,田端,11.0万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,西日暮里,11.6万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,日暮里,11.9万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,鶯谷,12.5万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,上野,13.7万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,御徒町,13.0万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,秋葉原,13.2万円
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,神田,-
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,東京,-
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,有楽町,-
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,新橋,-
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,浜松町,20.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,田町,23.8万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,高輪ゲートウェイ,19.5万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,品川,21.9万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,大崎,19.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,五反田,24.8万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,目黒,22.9万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,恵比寿,22.9万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,渋谷,24.5万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,原宿,22.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,代々木,17.3万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,新宿,-
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,新大久保,15.7万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,高田馬場,18.2万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,目白,16.8万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,池袋,16.1万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,大塚,15.3万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,巣鴨,16.5万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,駒込,14.6万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,田端,14.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,西日暮里,15.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,日暮里,16.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,鶯谷,13.3万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,上野,16.4万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,御徒町,18.0万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,秋葉原,25.6万円
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,神田,19.8万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,東京,17.7万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,有楽町,-
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,新橋,37.5万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,浜松町,26.7万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,田町,23.9万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,高輪ゲートウェイ,28.4万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,品川,25.2万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,大崎,19.5万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,五反田,28.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,目黒,23.8万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,恵比寿,33.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,渋谷,24.8万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,原宿,44.2万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,代々木,27.9万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,新宿,26.5万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,新大久保,21.3万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,高田馬場,24.7万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,目白,31.7万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,池袋,25.6万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,大塚,16.2万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,巣鴨,24.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,駒込,23.2万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,田端,15.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,西日暮里,27.8万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,日暮里,37.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,鶯谷,17.7万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,上野,35.0万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,御徒町,22.9万円
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,秋葉原,-
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,神田,29.7万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,東京,11.0万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,有楽町,4.4万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,新橋,15.1万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,浜松町,7.0万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,田町,11.1万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,高輪ゲートウェイ,6.8万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,品川,6.4万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,大崎,5.6万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,五反田,12.1万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,目黒,9.6万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,恵比寿,10.1万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,渋谷,10.1万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,原宿,13.9万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,代々木,14.5万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,新宿,14.3万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,新大久保,11.7万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,高田馬場,5.7万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,目白,5.4万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,池袋,8.3万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,大塚,6.8万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,巣鴨,4.6万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,駒込,4.5万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,田端,7.4万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,西日暮里,6.5万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,日暮里,7.2万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,鶯谷,9.5万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,上野,5.4万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,御徒町,7.9万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,秋葉原,11.9万円
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,神田,9.6万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,東京,12.6万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,有楽町,-
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,新橋,16.0万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,浜松町,21.9万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,田町,11.4万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,高輪ゲートウェイ,8.7万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,品川,10.0万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,大崎,9.4万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,五反田,14.9万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,目黒,13.5万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,恵比寿,10.2万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,渋谷,14.0万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,原宿,14.5万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,代々木,14.6万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,新宿,14.4万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,新大久保,11.8万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,高田馬場,11.8万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,目白,7.2万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,池袋,8.7万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,大塚,8.9万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,巣鴨,9.1万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,駒込,9.5万円
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,田端,8.1万円
